2023-09-28 21:59:29,809.message_producer.INFO ==================================================
2023-09-28 21:59:29,809.message_producer.INFO Today is 2023-09-28 at 09:59 PM
2023-09-28 21:59:29,810.message_producer.INFO Running on: nt Windows 10
2023-09-28 21:59:29,810.message_producer.INFO Python version:  3.11.1
2023-09-28 21:59:29,810.message_producer.INFO Python path: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 5\streaming-05-smart-smoker\.venv
2023-09-28 21:59:29,810.message_producer.INFO Working dir: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 5\streaming-05-smart-smoker
2023-09-28 21:59:29,810.message_producer.INFO ==================================================
2023-09-28 21:59:30,962.message_producer.INFO Seeing if you want to monitor RabbitMQ queues
2023-09-28 21:59:30,988.message_producer.INFO Skipping header row
2023-09-28 21:59:30,988.message_producer.INFO  [x] Sent ('05/22/21 12:20:15', '84.2') to 01-smoker
2023-09-28 21:59:30,989.message_producer.INFO  [x] Sent ('05/22/21 12:20:15', 'No Reading') to 02-food-A
2023-09-28 21:59:30,989.message_producer.INFO  [x] Sent ('05/22/21 12:20:15', 'No Reading') to 03-food-B
2023-09-28 21:59:32,989.message_producer.INFO  [x] Sent ('05/22/21 12:20:20', '84.2') to 01-smoker
2023-09-28 21:59:32,989.message_producer.INFO  [x] Sent ('05/22/21 12:20:20', 'No Reading') to 02-food-A
2023-09-28 21:59:32,989.message_producer.INFO  [x] Sent ('05/22/21 12:20:20', 'No Reading') to 03-food-B
2023-09-28 21:59:34,991.message_producer.INFO  [x] Sent ('05/22/21 12:21:10', '87.6') to 01-smoker
2023-09-28 21:59:34,991.message_producer.INFO  [x] Sent ('05/22/21 12:21:10', 'No Reading') to 02-food-A
2023-09-28 21:59:34,991.message_producer.INFO  [x] Sent ('05/22/21 12:21:10', 'No Reading') to 03-food-B
2023-09-28 21:59:36,992.message_producer.INFO  [x] Sent ('05/22/21 12:21:15', '87.6') to 01-smoker
2023-09-28 21:59:36,992.message_producer.INFO  [x] Sent ('05/22/21 12:21:15', 'No Reading') to 02-food-A
2023-09-28 21:59:36,993.message_producer.INFO  [x] Sent ('05/22/21 12:21:15', 'No Reading') to 03-food-B
2023-09-28 21:59:38,994.message_producer.INFO  [x] Sent ('05/22/21 12:22:10', '86.3') to 01-smoker
2023-09-28 21:59:38,994.message_producer.INFO  [x] Sent ('05/22/21 12:22:10', 'No Reading') to 02-food-A
2023-09-28 21:59:38,995.message_producer.INFO  [x] Sent ('05/22/21 12:22:10', 'No Reading') to 03-food-B
2023-09-28 21:59:40,995.message_producer.INFO  [x] Sent ('05/22/21 12:22:15', '86.3') to 01-smoker
2023-09-28 21:59:40,995.message_producer.INFO  [x] Sent ('05/22/21 12:22:15', 'No Reading') to 02-food-A
2023-09-28 21:59:40,995.message_producer.INFO  [x] Sent ('05/22/21 12:22:15', 'No Reading') to 03-food-B
2023-09-28 21:59:42,996.message_producer.INFO  [x] Sent ('05/22/21 12:23:10', '92.0') to 01-smoker
2023-09-28 21:59:42,996.message_producer.INFO  [x] Sent ('05/22/21 12:23:10', 'No Reading') to 02-food-A
2023-09-28 21:59:42,996.message_producer.INFO  [x] Sent ('05/22/21 12:23:10', 'No Reading') to 03-food-B
2023-09-28 21:59:44,997.message_producer.INFO  [x] Sent ('05/22/21 12:23:15', '92.0') to 01-smoker
2023-09-28 21:59:44,998.message_producer.INFO  [x] Sent ('05/22/21 12:23:15', 'No Reading') to 02-food-A
2023-09-28 21:59:44,998.message_producer.INFO  [x] Sent ('05/22/21 12:23:15', 'No Reading') to 03-food-B
2023-09-28 21:59:46,999.message_producer.INFO  [x] Sent ('05/22/21 12:24:10', '96.8') to 01-smoker
2023-09-28 21:59:46,999.message_producer.INFO  [x] Sent ('05/22/21 12:24:10', 'No Reading') to 02-food-A
2023-09-28 21:59:46,999.message_producer.INFO  [x] Sent ('05/22/21 12:24:10', 'No Reading') to 03-food-B
2023-09-28 21:59:49,000.message_producer.INFO  [x] Sent ('05/22/21 12:24:15', '96.8') to 01-smoker
2023-09-28 21:59:49,000.message_producer.INFO  [x] Sent ('05/22/21 12:24:15', 'No Reading') to 02-food-A
2023-09-28 21:59:49,001.message_producer.INFO  [x] Sent ('05/22/21 12:24:15', 'No Reading') to 03-food-B
2023-09-28 21:59:51,002.message_producer.INFO  [x] Sent ('05/22/21 12:25:05', '100.6') to 01-smoker
2023-09-28 21:59:51,002.message_producer.INFO  [x] Sent ('05/22/21 12:25:05', 'No Reading') to 02-food-A
2023-09-28 21:59:51,002.message_producer.INFO  [x] Sent ('05/22/21 12:25:05', 'No Reading') to 03-food-B
2023-09-28 21:59:53,003.message_producer.INFO  [x] Sent ('05/22/21 12:25:10', '100.9') to 01-smoker
2023-09-28 21:59:53,004.message_producer.INFO  [x] Sent ('05/22/21 12:25:10', 'No Reading') to 02-food-A
2023-09-28 21:59:53,004.message_producer.INFO  [x] Sent ('05/22/21 12:25:10', 'No Reading') to 03-food-B
2023-09-28 21:59:55,004.message_producer.INFO  [x] Sent ('05/22/21 12:25:15', '100.9') to 01-smoker
2023-09-28 21:59:55,005.message_producer.INFO  [x] Sent ('05/22/21 12:25:15', 'No Reading') to 02-food-A
2023-09-28 21:59:55,005.message_producer.INFO  [x] Sent ('05/22/21 12:25:15', 'No Reading') to 03-food-B
2023-09-28 21:59:57,006.message_producer.INFO  [x] Sent ('05/22/21 12:26:10', '104.8') to 01-smoker
2023-09-28 21:59:57,006.message_producer.INFO  [x] Sent ('05/22/21 12:26:10', 'No Reading') to 02-food-A
2023-09-28 21:59:57,007.message_producer.INFO  [x] Sent ('05/22/21 12:26:10', 'No Reading') to 03-food-B
2023-09-28 21:59:59,008.message_producer.INFO  [x] Sent ('05/22/21 12:26:15', '104.8') to 01-smoker
2023-09-28 21:59:59,008.message_producer.INFO  [x] Sent ('05/22/21 12:26:15', 'No Reading') to 02-food-A
2023-09-28 21:59:59,008.message_producer.INFO  [x] Sent ('05/22/21 12:26:15', 'No Reading') to 03-food-B
2023-09-28 22:00:01,009.message_producer.INFO  [x] Sent ('05/22/21 12:27:10', '108.2') to 01-smoker
2023-09-28 22:00:01,009.message_producer.INFO  [x] Sent ('05/22/21 12:27:10', 'No Reading') to 02-food-A
2023-09-28 22:00:01,009.message_producer.INFO  [x] Sent ('05/22/21 12:27:10', 'No Reading') to 03-food-B
2023-09-28 22:00:03,010.message_producer.INFO  [x] Sent ('05/22/21 12:27:15', '108.2') to 01-smoker
2023-09-28 22:00:03,010.message_producer.INFO  [x] Sent ('05/22/21 12:27:15', 'No Reading') to 02-food-A
2023-09-28 22:00:03,010.message_producer.INFO  [x] Sent ('05/22/21 12:27:15', 'No Reading') to 03-food-B
2023-09-28 22:00:05,012.message_producer.INFO  [x] Sent ('05/22/21 12:28:10', '111.4') to 01-smoker
2023-09-28 22:00:05,012.message_producer.INFO  [x] Sent ('05/22/21 12:28:10', 'No Reading') to 02-food-A
2023-09-28 22:00:05,012.message_producer.INFO  [x] Sent ('05/22/21 12:28:10', 'No Reading') to 03-food-B
2023-09-28 22:00:07,013.message_producer.INFO  [x] Sent ('05/22/21 12:28:15', '111.4') to 01-smoker
2023-09-28 22:00:07,013.message_producer.INFO  [x] Sent ('05/22/21 12:28:15', 'No Reading') to 02-food-A
2023-09-28 22:00:07,014.message_producer.INFO  [x] Sent ('05/22/21 12:28:15', 'No Reading') to 03-food-B
2023-09-28 22:00:09,015.message_producer.INFO  [x] Sent ('05/22/21 12:29:10', '114.2') to 01-smoker
2023-09-28 22:00:09,015.message_producer.INFO  [x] Sent ('05/22/21 12:29:10', 'No Reading') to 02-food-A
2023-09-28 22:00:09,016.message_producer.INFO  [x] Sent ('05/22/21 12:29:10', 'No Reading') to 03-food-B
2023-09-28 22:00:11,016.message_producer.INFO  [x] Sent ('05/22/21 12:29:15', '114.2') to 01-smoker
2023-09-28 22:00:11,017.message_producer.INFO  [x] Sent ('05/22/21 12:29:15', 'No Reading') to 02-food-A
2023-09-28 22:00:11,017.message_producer.INFO  [x] Sent ('05/22/21 12:29:15', 'No Reading') to 03-food-B
2023-09-28 22:00:13,018.message_producer.INFO  [x] Sent ('05/22/21 12:30:10', '116.9') to 01-smoker
2023-09-28 22:00:13,018.message_producer.INFO  [x] Sent ('05/22/21 12:30:10', 'No Reading') to 02-food-A
2023-09-28 22:00:13,019.message_producer.INFO  [x] Sent ('05/22/21 12:30:10', 'No Reading') to 03-food-B
2023-09-28 22:00:15,019.message_producer.INFO  [x] Sent ('05/22/21 12:30:15', '116.9') to 01-smoker
2023-09-28 22:00:15,019.message_producer.INFO  [x] Sent ('05/22/21 12:30:15', 'No Reading') to 02-food-A
2023-09-28 22:00:15,019.message_producer.INFO  [x] Sent ('05/22/21 12:30:15', 'No Reading') to 03-food-B
2023-09-28 22:00:17,021.message_producer.INFO  [x] Sent ('05/22/21 12:31:10', '119.4') to 01-smoker
2023-09-28 22:00:17,021.message_producer.INFO  [x] Sent ('05/22/21 12:31:10', 'No Reading') to 02-food-A
2023-09-28 22:00:17,022.message_producer.INFO  [x] Sent ('05/22/21 12:31:10', 'No Reading') to 03-food-B
